Wavelength (m),Spectral flux (W/m^2/m)
1.0000E-07,0.00E+00
1.0500E-07,0.00E+00
1.1000E-07,0.00E+00
1.1500E-07,0.00E+00
1.2000E-07,0.00E+00
1.2500E-07,0.00E+00
1.3000E-07,0.00E+00
1.3500E-07,0.00E+00
1.4000E-07,0.00E+00
1.4500E-07,0.00E+00
1.5000E-07,0.00E+00
1.5500E-07,0.00E+00
1.6000E-07,0.00E+00
1.6500E-07,0.00E+00
1.7000E-07,0.00E+00
1.7500E-07,0.00E+00
1.8000E-07,0.00E+00
1.8500E-07,0.00E+00
1.9000E-07,0.00E+00
1.9500E-07,0.00E+00
2.0000E-07,0.00E+00
2.0500E-07,0.00E+00
2.1000E-07,0.00E+00
2.1500E-07,0.00E+00
2.2000E-07,0.00E+00
2.2500E-07,0.00E+00
2.3000E-07,0.00E+00
2.3500E-07,0.00E+00
2.4000E-07,0.00E+00
2.4500E-07,0.00E+00
2.5000E-07,0.00E+00
2.5500E-07,0.00E+00
2.6000E-07,0.00E+00
2.6500E-07,0.00E+00
2.7000E-07,0.00E+00
2.7500E-07,0.00E+00
2.8000E-07,0.00E+00
2.8500E-07,0.00E+00
2.9000E-07,0.00E+00
2.9500E-07,0.00E+00
3.0000E-07,0.00E+00
3.0500E-07,0.00E+00
3.1000E-07,0.00E+00
3.1500E-07,0.00E+00
3.2000E-07,0.00E+00
3.2500E-07,0.00E+00
3.3000E-07,0.00E+00
3.3500E-07,0.00E+00
3.4000E-07,0.00E+00
3.4500E-07,0.00E+00
3.5050E-07,2.74E-07
3.5100E-07,2.69E-07
3.5150E-07,2.64E-07
3.5200E-07,2.61E-07
3.5250E-07,2.68E-07
3.5300E-07,2.80E-07
3.5350E-07,2.90E-07
3.5400E-07,2.96E-07
3.5450E-07,2.97E-07
3.5500E-07,2.91E-07
3.5550E-07,2.81E-07
3.5600E-07,2.67E-07
3.5650E-07,2.53E-07
3.5700E-07,2.51E-07
3.5750E-07,2.47E-07
3.5800E-07,2.39E-07
3.5850E-07,2.49E-07
3.5900E-07,2.72E-07
3.5950E-07,2.80E-07
3.6000E-07,2.70E-07
3.6050E-07,2.60E-07
3.6100E-07,2.58E-07
3.6150E-07,2.63E-07
3.6200E-07,2.74E-07
3.6250E-07,2.74E-07
3.6300E-07,2.68E-07
3.6350E-07,2.70E-07
3.6400E-07,2.72E-07
3.6450E-07,2.78E-07
3.6500E-07,2.95E-07
3.6550E-07,3.07E-07
3.6600E-07,3.06E-07
3.6650E-07,3.01E-07
3.6700E-07,2.97E-07
3.6750E-07,2.91E-07
3.6800E-07,2.89E-07
3.6850E-07,2.97E-07
3.6900E-07,3.08E-07
3.6950E-07,3.10E-07
3.7000E-07,2.98E-07
3.7050E-07,2.98E-07
3.7100E-07,3.08E-07
3.7150E-07,3.02E-07
3.7200E-07,2.96E-07
3.7250E-07,2.92E-07
3.7300E-07,2.79E-07
3.7350E-07,2.81E-07
3.7400E-07,2.80E-07
3.7450E-07,2.80E-07
3.7500E-07,3.02E-07
3.7550E-07,3.17E-07
3.7600E-07,3.16E-07
3.7650E-07,3.15E-07
3.7700E-07,3.38E-07
3.7750E-07,3.73E-07
3.7800E-07,3.79E-07
3.7850E-07,3.52E-07
3.7900E-07,3.21E-07
3.7950E-07,3.23E-07
3.8000E-07,3.59E-07
3.8050E-07,3.83E-07
3.8100E-07,3.74E-07
3.8150E-07,3.51E-07
3.8200E-07,3.20E-07
3.8250E-07,2.82E-07
3.8300E-07,2.60E-07
3.8350E-07,2.85E-07
3.8400E-07,3.43E-07
3.8450E-07,3.85E-07
3.8500E-07,3.95E-07
3.8550E-07,3.95E-07
3.8600E-07,4.03E-07
3.8650E-07,3.99E-07
3.8700E-07,3.84E-07
3.8750E-07,3.61E-07
3.8800E-07,3.26E-07
